Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
Post_2299,2023-12-23,Instagram,#Comedy,Post,Australia,3467552,147696,27597,48344,Medium
Post_2301,2023-03-09,Instagram,#Comedy,Video,Australia,1703779,308045,85908,45368,High
Post_2537,2022-12-25,TikTok,#Comedy,Shorts,Australia,74888,471073,9766,20104,Low
Post_2674,2023-11-14,TikTok,#Comedy,Shorts,Australia,3835467,139347,80196,18716,Low
Post_2741,2023-03-11,TikTok,#Comedy,Live Stream,Australia,4274328,51628,65728,40477,High
Post_2982,2023-09-11,TikTok,#Comedy,Video,Australia,1195064,196870,16363,33596,Medium
Post_3332,2023-06-05,TikTok,#Comedy,Video,Australia,3568414,383162,46613,19654,Medium
Post_3780,2022-12-01,TikTok,#Comedy,Video,Australia,2534406,227500,22953,8757,High
Post_4151,2023-11-20,TikTok,#Comedy,Live Stream,Australia,3512498,38120,22702,22430,Low
Post_4656,2022-11-21,TikTok,#Comedy,Video,Australia,1146688,458464,62608,45618,Low
Post_4660,2023-02-03,Instagram,#Comedy,Post,Australia,3498488,89978,29892,34882,High
Post_4677,2022-11-30,TikTok,#Comedy,Shorts,Australia,2366043,87673,4121,25516,Low
Post_4929,2023-07-25,Instagram,#Comedy,Reel,Australia,2730222,255263,42037,35227,Low
Post_4945,2022-05-08,TikTok,#Comedy,Video,Australia,31732,140297,38920,3503,Medium
Post_4978,2023-11-27,Instagram,#Comedy,Reel,Australia,2481166,77818,79907,49785,Medium
Post_82,2023-08-06,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low
Post_494,2023-09-07,TikTok,#Dance,Post,Australia,797705,102013,63301,3932,Low
Post_632,2023-05-23,TikTok,#Dance,Shorts,Australia,1455898,52265,90966,7346,Low
Post_760,2023-02-27,TikTok,#Dance,Post,Australia,3983567,126215,30951,9592,Medium
Post_776,2022-08-28,TikTok,#Dance,Post,Australia,727739,489613,21973,19468,High
Post_877,2022-06-25,Instagram,#Dance,Reel,Australia,3822658,16287,899,13106,High
Post_972,2022-11-02,Instagram,#Dance,Reel,Australia,483039,282741,24926,37989,Low
Post_988,2023-11-05,Instagram,#Dance,Live Stream,Australia,2352184,486228,59382,26190,Medium
Post_1015,2022-11-14,Instagram,#Dance,Live Stream,Australia,251154,309987,21850,21949,Low
Post_1187,2023-05-03,TikTok,#Dance,Shorts,Australia,3990883,491508,66058,37043,Medium
Post_1190,2023-04-28,TikTok,#Dance,Video,Australia,4149798,198160,72234,42191,Medium
Post_1299,2023-05-02,TikTok,#Dance,Reel,Australia,1296499,230354,67311,23584,Low
Post_1468,2023-02-27,Instagram,#Dance,Shorts,Australia,1684281,409446,92094,7598,High
Post_1570,2023-12-08,TikTok,#Dance,Live Stream,Australia,243941,453454,4373,23761,Medium
Post_1591,2023-01-24,TikTok,#Dance,Shorts,Australia,914452,339941,5979,34553,High
Post_1687,2023-01-16,TikTok,#Dance,Live Stream,Australia,2279763,12478,72990,25143,Medium
Post_1765,2022-12-05,TikTok,#Dance,Post,Australia,3833488,410851,36575,18180,High
Post_2397,2022-11-24,Instagram,#Dance,Video,Australia,103897,39137,23566,43482,High
Post_2864,2022-04-29,TikTok,#Dance,Tweet,Australia,4385439,312854,58495,30380,Medium
Post_3095,2022-09-09,TikTok,#Dance,Post,Australia,1428353,369192,36890,39957,Medium
Post_3500,2022-10-30,TikTok,#Dance,Tweet,Australia,4069828,228465,70,47526,Low
Post_3538,2023-02-11,TikTok,#Dance,Video,Australia,2918054,327020,56605,19856,Low
Post_3595,2022-10-18,TikTok,#Dance,Live Stream,Australia,1939306,200131,76077,45583,High
Post_3681,2022-01-09,Instagram,#Dance,Post,Australia,3989657,351332,76680,36031,High
Post_3752,2022-01-22,TikTok,#Dance,Shorts,Australia,3927986,316772,85104,49951,High
Post_3885,2022-02-14,TikTok,#Dance,Shorts,Australia,2045438,167012,47179,49887,Low
Post_3899,2022-12-15,TikTok,#Dance,Live Stream,Australia,3217287,341230,50413,1801,Low
Post_4037,2023-06-29,TikTok,#Dance,Video,Australia,892935,148751,17295,25141,High
Post_4401,2023-06-23,Instagram,#Dance,Post,Australia,4622736,263342,43263,10974,High
Post_4565,2023-05-27,Instagram,#Dance,Shorts,Australia,2047644,237289,24803,5008,High
Post_72,2022-01-19,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low
Post_113,2022-05-18,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High
Post_427,2023-02-11,Instagram,#Education,Shorts,Australia,4686957,109616,68468,40709,Medium
Post_498,2022-12-13,Instagram,#Education,Tweet,Australia,3979197,313528,22858,39951,High
Post_577,2023-07-01,TikTok,#Education,Tweet,Australia,1308627,212701,97549,10352,Low
Post_775,2023-09-11,Instagram,#Education,Shorts,Australia,3200135,357852,8303,1186,Low
Post_784,2023-07-05,Instagram,#Education,Live Stream,Australia,1050122,497180,25187,19816,Low
Post_1034,2022-09-06,Instagram,#Education,Tweet,Australia,11338,379782,86100,44273,Medium
Post_1418,2023-06-20,Instagram,#Education,Video,Australia,2065185,429022,80506,34002,Medium
Post_1990,2022-05-20,Instagram,#Education,Reel,Australia,3076229,447588,97652,34103,Medium
Post_1994,2023-10-16,Instagram,#Education,Tweet,Australia,3223735,484066,88547,2582,Medium
Post_2006,2022-11-22,Instagram,#Education,Reel,Australia,402877,176794,55741,16724,Medium
Post_2145,2022-07-20,TikTok,#Education,Reel,Australia,454948,306641,59145,37973,High
Post_2230,2023-01-18,TikTok,#Education,Reel,Australia,3384848,210894,82911,24114,High
Post_2354,2023-06-17,Instagram,#Education,Shorts,Australia,155519,315644,87191,4007,Low
Post_2954,2023-10-31,Instagram,#Education,Post,Australia,3909608,328265,91682,28567,High
Post_3117,2023-05-03,TikTok,#Education,Shorts,Australia,2285478,448515,41351,13176,Medium
Post_3197,2023-03-25,Instagram,#Education,Reel,Australia,3413756,181553,21480,3465,Low
Post_3210,2023-01-05,Instagram,#Education,Video,Australia,2982515,223769,87424,11556,High
Post_3401,2023-02-10,TikTok,#Education,Reel,Australia,783731,186031,94098,20184,High
Post_3719,2023-06-22,Instagram,#Education,Reel,Australia,1794640,12648,44721,13884,Low
Post_3898,2023-11-26,Instagram,#Education,Post,Australia,870453,38904,71532,942,Medium
Post_4438,2023-05-01,TikTok,#Education,Shorts,Australia,1111633,356767,16497,5222,Medium
Post_4844,2022-08-20,TikTok,#Education,Reel,Australia,1912681,262668,23314,21369,Low
Post_4856,2023-07-31,Instagram,#Education,Shorts,Australia,459654,356338,35844,36945,Medium
Post_189,2023-05-11,TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High
Post_451,2022-10-20,TikTok,#Fashion,Tweet,Australia,338635,376834,42333,9324,Low
Post_472,2022-01-12,TikTok,#Fashion,Tweet,Australia,1123564,306470,76377,46344,Low
Post_576,2022-08-03,TikTok,#Fashion,Live Stream,Australia,4298867,233439,92096,20234,High
Post_696,2023-09-18,TikTok,#Fashion,Live Stream,Australia,4967000,458270,91709,5080,High
Post_903,2022-11-26,TikTok,#Fashion,Live Stream,Australia,2118691,51266,15265,39734,High
Post_1181,2022-03-25,Instagram,#Fashion,Tweet,Australia,3207625,410976,85117,37271,Low
Post_1344,2023-11-06,Instagram,#Fashion,Reel,Australia,2884482,205837,18884,34478,High
Post_1576,2022-09-25,TikTok,#Fashion,Video,Australia,3587576,363800,86707,9705,High
Post_1611,2022-02-11,TikTok,#Fashion,Reel,Australia,4914854,366072,63088,10841,Low
Post_1646,2022-09-04,Instagram,#Fashion,Post,Australia,2149093,4283,97823,25162,Medium
Post_1879,2023-09-02,Instagram,#Fashion,Tweet,Australia,1268878,234893,38551,46517,Medium
Post_1954,2022-11-25,TikTok,#Fashion,Tweet,Australia,2374152,42365,85512,6217,Low
Post_2075,2022-02-16,Instagram,#Fashion,Shorts,Australia,293601,338084,69736,30711,Medium
Post_2120,2022-05-31,TikTok,#Fashion,Video,Australia,932583,243874,61449,31026,Low
Post_2802,2023-06-27,TikTok,#Fashion,Tweet,Australia,1425733,248984,28436,18316,High
Post_2956,2022-11-05,TikTok,#Fashion,Shorts,Australia,4503451,199050,10299,7649,Medium
Post_3119,2023-10-20,Instagram,#Fashion,Live Stream,Australia,4588344,458754,69225,2083,Medium
Post_3624,2023-05-16,Instagram,#Fashion,Video,Australia,1671868,395880,60863,10189,Medium
Post_3671,2022-05-12,Instagram,#Fashion,Post,Australia,231868,131318,92253,28352,High
Post_3685,2022-12-07,Instagram,#Fashion,Live Stream,Australia,4375990,99936,80353,3006,Low
Post_3839,2022-12-19,TikTok,#Fashion,Live Stream,Australia,2076350,109351,36430,20601,High
Post_3850,2022-04-25,Instagram,#Fashion,Reel,Australia,4165262,271304,50757,28623,Low
Post_3882,2022-11-25,Instagram,#Fashion,Tweet,Australia,3209804,26530,39753,28986,Medium
Post_4021,2023-12-17,Instagram,#Fashion,Tweet,Australia,3233160,397430,48054,5915,High
Post_4362,2022-05-08,Instagram,#Fashion,Tweet,Australia,1520447,20790,87638,21215,Medium
Post_4387,2023-03-17,TikTok,#Fashion,Tweet,Australia,4906990,213275,81187,21239,Low
Post_4388,2022-01-27,TikTok,#Fashion,Reel,Australia,4592642,5201,65853,17955,Medium
Post_4974,2022-05-23,Instagram,#Fashion,Tweet,Australia,1409550,96300,41309,23481,Low
Post_4988,2023-07-06,Instagram,#Fashion,Video,Australia,1143337,491688,11608,8331,High
Post_136,2022-04-30,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low
Post_165,2022-06-12,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low
Post_173,2023-04-25,Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High
Post_227,2022-07-14,TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,Medium
Post_258,2023-12-02,Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,Medium
Post_310,2023-03-13,TikTok,#Fitness,Shorts,Australia,2337694,429342,49196,28304,Medium
Post_677,2023-08-24,TikTok,#Fitness,Video,Australia,4678230,245665,56894,12110,Medium
Post_685,2022-08-13,Instagram,#Fitness,Reel,Australia,3471793,286422,67665,17667,Medium
Post_813,2023-01-25,Instagram,#Fitness,Post,Australia,998555,225198,8583,34716,Low
Post_904,2023-02-23,TikTok,#Fitness,Video,Australia,579923,487181,219,39465,High
Post_1352,2022-06-12,TikTok,#Fitness,Live Stream,Australia,675163,272637,95308,27495,High
Post_1605,2023-09-09,Instagram,#Fitness,Tweet,Australia,2316764,98083,89325,34220,Low
Post_1606,2023-12-28,Instagram,#Fitness,Video,Australia,2463746,310242,10086,38862,High
Post_1608,2022-04-18,Instagram,#Fitness,Reel,Australia,3418348,292153,51497,30601,Low
Post_2288,2022-05-20,Instagram,#Fitness,Video,Australia,2986160,146980,99759,23072,Medium
Post_2667,2023-05-09,TikTok,#Fitness,Shorts,Australia,202888,369105,67944,49302,Low
Post_2971,2023-12-28,Instagram,#Fitness,Video,Australia,2698643,357079,83343,41222,Medium
Post_2986,2022-04-30,TikTok,#Fitness,Post,Australia,4222799,5510,2998,32953,Low
Post_3553,2023-05-17,Instagram,#Fitness,Live Stream,Australia,2355608,335201,89190,47165,High
Post_3583,2023-01-05,Instagram,#Fitness,Live Stream,Australia,1294997,23756,95096,36485,Medium
Post_3703,2022-04-09,Instagram,#Fitness,Shorts,Australia,3358197,230451,95429,22070,High
Post_3901,2022-05-12,Instagram,#Fitness,Shorts,Australia,2271759,362820,34300,2604,Medium
Post_3943,2022-04-18,TikTok,#Fitness,Reel,Australia,3959483,363451,40906,30644,Low
Post_4004,2023-06-09,Instagram,#Fitness,Reel,Australia,309913,233668,86886,20588,High
Post_4107,2023-07-05,Instagram,#Fitness,Shorts,Australia,456751,454496,1522,13256,Low
Post_4134,2023-05-30,Instagram,#Fitness,Tweet,Australia,2491489,57916,10858,37910,Low
Post_4240,2023-04-13,TikTok,#Fitness,Shorts,Australia,4487202,309686,91035,42034,Low
Post_4252,2023-09-10,Instagram,#Fitness,Live Stream,Australia,1925512,445030,93050,27310,Low
Post_4277,2023-12-09,TikTok,#Fitness,Video,Australia,36859,235389,7241,15711,Medium
Post_4318,2023-05-20,Instagram,#Fitness,Tweet,Australia,4447344,202595,89767,16312,Medium
Post_4392,2022-09-23,Instagram,#Fitness,Shorts,Australia,4608617,83329,8332,25349,Low
Post_4458,2023-07-29,Instagram,#Fitness,Reel,Australia,2304449,355721,54164,43193,Low
Post_4588,2023-02-06,TikTok,#Fitness,Live Stream,Australia,4292584,56812,1813,7614,Low
Post_4728,2023-11-02,Instagram,#Fitness,Tweet,Australia,453593,164787,60691,27711,Low
Post_4746,2023-10-24,Instagram,#Fitness,Tweet,Australia,4033578,51533,75559,11512,Low
Post_4941,2023-12-15,Instagram,#Fitness,Video,Australia,1840183,79448,55602,2024,Medium
Post_4958,2023-05-19,Instagram,#Fitness,Live Stream,Australia,38930,295330,60125,42066,High
Post_4960,2022-01-25,TikTok,#Fitness,Post,Australia,1304988,87209,77931,24147,Low
Post_4990,2023-08-20,Instagram,#Fitness,Shorts,Australia,535624,202764,39983,22546,Medium
Post_613,2023-07-13,Instagram,#Gaming,Live Stream,Australia,2912021,43497,37791,33220,Low
Post_770,2022-05-22,TikTok,#Gaming,Tweet,Australia,1297808,266995,73819,12405,Low
Post_1023,2023-10-03,Instagram,#Gaming,Tweet,Australia,235741,197273,83423,15114,High
Post_1144,2022-03-27,TikTok,#Gaming,Live Stream,Australia,497423,158956,68044,30123,Low
Post_1208,2023-09-16,TikTok,#Gaming,Shorts,Australia,3521130,260136,65723,32176,Low
Post_1365,2022-01-19,TikTok,#Gaming,Tweet,Australia,2364689,57101,14115,11231,High
Post_1436,2022-11-24,TikTok,#Gaming,Reel,Australia,2263835,253167,92950,2373,High
Post_1955,2022-05-07,Instagram,#Gaming,Shorts,Australia,665714,301322,55816,38455,High
Post_2044,2023-05-07,Instagram,#Gaming,Tweet,Australia,3646115,392151,88887,3518,High
Post_2137,2022-06-11,Instagram,#Gaming,Reel,Australia,3894059,344593,93343,21314,Medium
Post_2147,2022-05-20,TikTok,#Gaming,Tweet,Australia,1365873,210793,21826,38899,Low
Post_2149,2022-08-17,Instagram,#Gaming,Tweet,Australia,1187542,417824,3004,33799,Low
Post_2240,2022-11-09,TikTok,#Gaming,Post,Australia,1669794,228462,53780,38340,Medium
Post_2371,2023-08-13,TikTok,#Gaming,Video,Australia,3640704,122275,69449,39348,Low
Post_2695,2022-07-24,Instagram,#Gaming,Video,Australia,3576712,403450,97590,31542,Medium
Post_2750,2022-10-04,Instagram,#Gaming,Shorts,Australia,2612014,187743,54867,13925,Medium
Post_2990,2023-04-11,Instagram,#Gaming,Reel,Australia,4401295,150497,53808,43102,Low
Post_3026,2023-12-29,Instagram,#Gaming,Tweet,Australia,1084541,476378,7727,23253,High
Post_3030,2022-02-07,TikTok,#Gaming,Shorts,Australia,3602760,403164,38202,21785,Medium
Post_3266,2023-11-30,Instagram,#Gaming,Live Stream,Australia,4616223,304084,26970,23126,Low
Post_3268,2022-04-02,TikTok,#Gaming,Reel,Australia,4784006,167376,4736,32126,Low
Post_3431,2022-07-03,Instagram,#Gaming,Reel,Australia,513332,455793,97926,29388,Medium
Post_3600,2022-07-13,TikTok,#Gaming,Reel,Australia,3284516,89109,91336,31184,Medium
Post_3766,2022-05-21,TikTok,#Gaming,Tweet,Australia,298203,250763,83080,26482,Low
Post_4024,2023-04-20,TikTok,#Gaming,Tweet,Australia,2067844,424988,14387,41987,High
Post_4243,2023-02-09,Instagram,#Gaming,Tweet,Australia,1027434,150441,58194,45827,Low
Post_4254,2023-07-01,Instagram,#Gaming,Tweet,Australia,3931634,154021,17016,30829,High
Post_4293,2023-01-29,TikTok,#Gaming,Post,Australia,2829163,17805,57264,24917,Low
Post_4421,2022-06-28,TikTok,#Gaming,Reel,Australia,1595215,423374,28961,38085,Medium
Post_4453,2022-12-17,TikTok,#Gaming,Tweet,Australia,2506710,320606,1565,39465,Low
Post_4466,2023-04-24,Instagram,#Gaming,Post,Australia,3567170,178506,37026,14997,Low
Post_4607,2023-10-23,Instagram,#Gaming,Shorts,Australia,1175078,42905,98581,20024,Medium
Post_171,2022-10-28,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High
Post_345,2023-08-14,Instagram,#Music,Reel,Australia,423362,110690,51877,22816,High
Post_366,2023-02-24,Instagram,#Music,Tweet,Australia,1568970,253002,46733,33534,Medium
Post_452,2023-04-16,TikTok,#Music,Tweet,Australia,1689148,349908,55192,27281,Medium
Post_599,2023-07-03,Instagram,#Music,Video,Australia,2594914,369883,17225,14583,High
Post_647,2023-11-18,TikTok,#Music,Post,Australia,3121381,383141,20211,3506,Low
Post_959,2023-10-23,TikTok,#Music,Post,Australia,4081534,350009,87267,5450,Low
Post_1273,2022-07-07,Instagram,#Music,Reel,Australia,1934060,55050,41483,39848,Medium
Post_1590,2023-02-26,Instagram,#Music,Reel,Australia,1586403,28598,85817,46074,Medium
Post_1727,2023-09-26,Instagram,#Music,Video,Australia,4432570,202923,40150,18413,Medium
Post_1818,2022-08-01,Instagram,#Music,Live Stream,Australia,4638513,226807,91716,9225,Low
Post_2047,2022-11-17,Instagram,#Music,Live Stream,Australia,1973499,230125,44232,36873,High
Post_2260,2023-06-11,TikTok,#Music,Live Stream,Australia,1792773,196111,17185,44558,High
Post_2400,2023-08-12,Instagram,#Music,Tweet,Australia,1032172,63781,81612,41902,High
Post_2472,2023-03-02,TikTok,#Music,Reel,Australia,781134,305684,90185,22404,High
Post_2540,2022-11-13,Instagram,#Music,Live Stream,Australia,401582,415577,39290,43037,High
Post_2759,2023-08-21,Instagram,#Music,Tweet,Australia,1602583,95273,33154,31607,High
Post_3111,2022-09-26,Instagram,#Music,Reel,Australia,3133920,214076,33445,23364,High
Post_3246,2022-11-03,TikTok,#Music,Reel,Australia,68419,10582,34672,9733,High
Post_3344,2023-02-02,TikTok,#Music,Live Stream,Australia,4335992,62946,46878,853,Low
Post_3348,2023-12-09,Instagram,#Music,Shorts,Australia,2229517,223788,28338,14001,High
Post_3425,2022-10-17,TikTok,#Music,Live Stream,Australia,4710683,186594,81646,5540,Low
Post_3594,2023-06-22,Instagram,#Music,Video,Australia,4557029,125724,1278,33044,Low
Post_3613,2022-07-12,Instagram,#Music,Reel,Australia,2100416,225017,46803,12290,High
Post_3628,2022-04-19,Instagram,#Music,Tweet,Australia,2716374,344755,20540,31222,Low
Post_3632,2022-06-17,Instagram,#Music,Live Stream,Australia,2714339,195676,96044,18591,High
Post_3667,2022-12-06,TikTok,#Music,Post,Australia,2320627,417108,2814,15708,Medium
Post_3797,2023-03-04,TikTok,#Music,Shorts,Australia,4645704,248284,83794,24725,High
Post_3854,2023-05-12,Instagram,#Music,Reel,Australia,531906,423823,33666,9162,Low
Post_3990,2022-08-02,TikTok,#Music,Post,Australia,2238529,13461,7839,12119,Low
Post_4279,2022-12-14,TikTok,#Music,Video,Australia,28280,67072,13299,23411,Medium
Post_4796,2022-12-01,Instagram,#Music,Live Stream,Australia,1219770,291504,16339,31645,High
Post_4813,2023-09-16,Instagram,#Music,Reel,Australia,3927144,233834,69647,25283,Low
Post_4898,2022-06-28,TikTok,#Music,Reel,Australia,2679420,173842,80871,894,Low
Post_98,2022-12-18,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium
Post_116,2022-05-22,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High
Post_670,2022-01-25,Instagram,#Tech,Tweet,Australia,3428187,328693,57651,18330,High
Post_690,2023-03-13,Instagram,#Tech,Live Stream,Australia,490952,347826,72833,14756,Low
Post_705,2023-05-16,Instagram,#Tech,Shorts,Australia,1180913,389245,42150,40241,Medium
Post_761,2022-03-10,Instagram,#Tech,Reel,Australia,4975026,113245,73842,39396,Medium
Post_935,2023-03-06,Instagram,#Tech,Reel,Australia,1420653,40254,15175,14173,Medium
Post_1128,2022-11-30,TikTok,#Tech,Reel,Australia,2221223,69758,80790,38108,Medium
Post_1853,2023-12-05,TikTok,#Tech,Post,Australia,4435720,172273,26466,9176,Medium
Post_1906,2023-12-21,TikTok,#Tech,Post,Australia,4153069,355599,67741,653,Medium
Post_2080,2022-02-20,Instagram,#Tech,Video,Australia,4203091,443042,43058,13463,Medium
Post_2268,2022-05-31,TikTok,#Tech,Tweet,Australia,2188892,461087,83275,9604,High
Post_2325,2023-12-29,TikTok,#Tech,Reel,Australia,3347578,376879,24479,27327,Medium
Post_2567,2023-07-19,TikTok,#Tech,Reel,Australia,1402768,385952,59599,23267,Low
Post_2622,2022-10-12,TikTok,#Tech,Tweet,Australia,852564,390933,8960,23869,Medium
Post_2715,2023-07-08,Instagram,#Tech,Post,Australia,3535094,277346,18702,27624,High
Post_3081,2022-06-28,TikTok,#Tech,Video,Australia,2056875,483813,54265,10201,Low
Post_3093,2022-03-26,TikTok,#Tech,Post,Australia,921025,77092,85563,8320,High
Post_3222,2023-09-14,Instagram,#Tech,Reel,Australia,604410,281512,29457,28963,Medium
Post_3236,2022-03-23,Instagram,#Tech,Video,Australia,4501262,376672,46465,42986,High
Post_3258,2023-06-27,Instagram,#Tech,Reel,Australia,276749,409709,41368,1705,Medium
Post_3871,2023-09-20,TikTok,#Tech,Video,Australia,4261094,414331,77016,34159,Low
Post_4328,2022-10-05,TikTok,#Tech,Post,Australia,4594690,34250,79276,10244,High
Post_4488,2022-03-29,TikTok,#Tech,Shorts,Australia,128356,340433,58461,38076,Medium
Post_4499,2022-06-30,TikTok,#Tech,Video,Australia,4704584,289582,50984,18427,Low
Post_4587,2023-06-22,Instagram,#Tech,Reel,Australia,4796690,426637,78236,41106,Medium
Post_4804,2023-07-09,TikTok,#Tech,Video,Australia,3301392,72964,71082,3187,Low
Post_4900,2022-02-11,TikTok,#Tech,Reel,Australia,1405439,157281,33939,13278,Low
Post_341,2023-02-01,TikTok,#Viral,Tweet,Australia,2277888,10022,63720,49788,Low
Post_563,2022-07-28,TikTok,#Viral,Video,Australia,2732458,330425,27066,37518,Medium
Post_592,2022-01-24,TikTok,#Viral,Live Stream,Australia,845246,313875,38766,37466,Low
Post_684,2023-05-14,TikTok,#Viral,Post,Australia,2551235,254503,51815,22756,Medium
Post_774,2022-12-21,Instagram,#Viral,Tweet,Australia,3827339,405141,10660,18414,High
Post_1041,2022-09-06,TikTok,#Viral,Post,Australia,3106476,152334,49965,44652,High
Post_1103,2022-02-15,Instagram,#Viral,Tweet,Australia,4113719,371010,23116,29531,Low
Post_1240,2023-04-30,TikTok,#Viral,Video,Australia,1476674,464620,19688,29990,Low
Post_1863,2023-05-03,Instagram,#Viral,Reel,Australia,2206289,230130,40936,3040,Low
Post_2034,2023-07-15,Instagram,#Viral,Reel,Australia,2015897,214072,93955,9393,High
Post_2066,2023-07-25,TikTok,#Viral,Shorts,Australia,2188445,414224,59543,33103,Low
Post_2197,2023-06-02,TikTok,#Viral,Reel,Australia,4027013,187226,91851,23484,High
Post_2787,2023-05-29,Instagram,#Viral,Shorts,Australia,1004552,189682,46042,10235,Medium
Post_2822,2023-04-20,Instagram,#Viral,Video,Australia,1060579,3040,27023,2492,Medium
Post_2865,2023-11-29,Instagram,#Viral,Reel,Australia,1831119,491782,86681,48075,High
Post_3040,2023-06-11,Instagram,#Viral,Reel,Australia,939246,57670,81461,29497,Medium
Post_3454,2023-01-13,TikTok,#Viral,Live Stream,Australia,705135,126785,67006,35860,Low
Post_3496,2023-12-25,Instagram,#Viral,Shorts,Australia,1783139,219741,55360,38676,Medium
